handle,url
unwind-capsules,"https://puresport.co/products/unwind-capsules"
1000mg-muscle-joint-balm-50ml,"https://puresport.co/products/1000mg-muscle-joint-balm-50ml"
1000mg-pure-freeze-roll-on,"https://puresport.co/products/1000mg-pure-freeze-roll-on"
the-gift-of-wellness,"https://puresport.co/products/the-gift-of-wellness"
steel-gua-sha,"https://puresport.co/products/steel-gua-sha"
1000mg-balm-steel-gua-sha,"https://puresport.co/products/1000mg-balm-steel-gua-sha"
lions-mane-capsules,"https://puresport.co/products/lions-mane-capsules"
cordyceps-capsules,"https://puresport.co/products/cordyceps-capsules"
run-club-east-london,"https://puresport.co/products/run-club-east-london"
run-club-clapham,"https://puresport.co/products/run-club-clapham"
puresport-run-club-performance-tee-black,"https://puresport.co/products/puresport-run-club-performance-tee-black"
performance-running-socks-black,"https://puresport.co/products/performance-running-socks-black"
performance-running-socks-white,"https://puresport.co/products/performance-running-socks-white"
performance-running-socks-yellow,"https://puresport.co/products/performance-running-socks-yellow"
performance-running-socks-neon-pink,"https://puresport.co/products/performance-running-socks-neon-pink"
performance-running-socks-orange,"https://puresport.co/products/performance-running-socks-orange"
performance-sexy-pace-socks-black,"https://puresport.co/products/performance-sexy-pace-socks-black"
performance-sexy-pace-socks-pink,"https://puresport.co/products/performance-sexy-pace-socks-pink"
performance-sexy-pace-socks-white,"https://puresport.co/products/performance-sexy-pace-socks-white"
puresport-x-arcteryx-trail-run-series-richmond-park,"https://puresport.co/products/puresport-x-arcteryx-trail-run-series-richmond-park"
ultra-ashwagandha,"https://puresport.co/products/ultra-ashwagandha"
tongkat-ali,"https://puresport.co/products/tongkat-ali"
puresport-running-club-cap-black,"https://puresport.co/products/puresport-running-club-cap-black"
psrc-performance-long-sleeve-black,"https://puresport.co/products/psrc-performance-long-sleeve-black"
puresport-run-club-cap-green,"https://puresport.co/products/puresport-run-club-cap-green"
ultra-magnesium,"https://puresport.co/products/ultra-magnesium"
lions-mane-capsules-refill-bag-60-caps,"https://puresport.co/products/lions-mane-capsules-refill-bag-60-caps"
cordyceps-capsules-refill-bag-60-caps,"https://puresport.co/products/cordyceps-capsules-refill-bag-60-caps"
mushroom-complex-capsules-refill-bag-60-caps,"https://puresport.co/products/mushroom-complex-capsules-refill-bag-60-caps"
tongkat-ali-capsules-refill-bag-60-caps,"https://puresport.co/products/tongkat-ali-capsules-refill-bag-60-caps"
ashwagandha-capsules-refill-bag-60-caps,"https://puresport.co/products/ashwagandha-capsules-refill-bag-60-caps"
psrc-performance-long-sleeve-white,"https://puresport.co/products/psrc-performance-long-sleeve-white"
ultra-electrolytes-citrus-salt,"https://puresport.co/products/ultra-electrolytes-citrus-salt"
ultra-electrolytes-raspberry-salt,"https://puresport.co/products/ultra-electrolytes-raspberry-salt"
running-club-hoodie-overdye-charcoal,"https://puresport.co/products/running-club-hoodie-overdye-charcoal"
performance-short-sleeve-top-white-classic-style,"https://puresport.co/products/performance-short-sleeve-top-white-classic-style"
psrc-performance-ankle-socks-black,"https://puresport.co/products/psrc-performance-ankle-socks-black"
performance-ankle-socks-neon-pink,"https://puresport.co/products/performance-ankle-socks-neon-pink"
performance-ankle-socks-white-s-m,"https://puresport.co/products/performance-ankle-socks-white-s-m"
psrc-performance-ankle-socks-orange,"https://puresport.co/products/psrc-performance-ankle-socks-orange"
psrc-performance-ankle-socks-yellow-l-xl,"https://puresport.co/products/psrc-performance-ankle-socks-yellow-l-xl"
ultra-electrolytes-citrus-salt-15-pack,"https://puresport.co/products/ultra-electrolytes-citrus-salt-15-pack"
ultra-electrolytes-raspberry-salt-15-pack,"https://puresport.co/products/ultra-electrolytes-raspberry-salt-15-pack"
ultra-electrolytes-discovery-pack-2x15-pack,"https://puresport.co/products/ultra-electrolytes-discovery-pack-2x15-pack"
run-club-hackney,"https://puresport.co/products/run-club-hackney"
ultimate-sleep-bundle,"https://puresport.co/products/ultimate-sleep-bundle"
ultra-electrolytes-discovery-30-pack-citrus-raspberry,"https://puresport.co/products/ultra-electrolytes-discovery-30-pack-citrus-raspberry"
nalgene-bottle-raspberry,"https://puresport.co/products/nalgene-bottle-raspberry"
nalgene-bottle-smoke-grey,"https://puresport.co/products/nalgene-bottle-smoke-grey"
nalgene-bottle-seafoam,"https://puresport.co/products/nalgene-bottle-seafoam"
nalgene-bottle-clear,"https://puresport.co/products/nalgene-bottle-clear"
vitamin-d3-trial-pack,"https://puresport.co/products/vitamin-d3-trial-pack"
vitamin-d3-refill-bag-60-caps,"https://puresport.co/products/vitamin-d3-refill-bag-60-caps"
vitamin-d3,"https://puresport.co/products/vitamin-d3"
sports-bottle-matte-white,"https://puresport.co/products/sports-bottle-matte-white"
cognitive-and-immunity-bundle,"https://puresport.co/products/cognitive-and-immunity-bundle"
ultimate-recovery-bundle,"https://puresport.co/products/ultimate-recovery-bundle"
ultra-magnesium-7-day-trial-pack,"https://puresport.co/products/ultra-magnesium-7-day-trial-pack"
protect-and-recover-bundle,"https://puresport.co/products/protect-and-recover-bundle"
25-gift-card,"https://puresport.co/products/25-gift-card"
50-gift-card,"https://puresport.co/products/50-gift-card"
100-gift-card,"https://puresport.co/products/100-gift-card"
the-real-runners-high-crewneck,"https://puresport.co/products/the-real-runners-high-crewneck"
for-the-long-run-hoodie-washed-black,"https://puresport.co/products/for-the-long-run-hoodie-washed-black"
for-the-long-run-tee-washed-black,"https://puresport.co/products/for-the-long-run-tee-washed-black"
for-the-long-run-tee-white,"https://puresport.co/products/for-the-long-run-tee-white"
the-real-runners-high-hoodie,"https://puresport.co/products/the-real-runners-high-hoodie"
running-club-cap-grey,"https://puresport.co/products/running-club-cap-grey"
running-club-cap-sage,"https://puresport.co/products/running-club-cap-sage"
performance-running-socks-white-pink,"https://puresport.co/products/performance-running-socks-white-pink"
performance-running-socks-white-navy,"https://puresport.co/products/performance-running-socks-white-navy"
performance-running-socks-white-orange,"https://puresport.co/products/performance-running-socks-white-orange"
performance-running-socks-white-3m,"https://puresport.co/products/performance-running-socks-white-3m"
performance-running-socks-black-3m,"https://puresport.co/products/performance-running-socks-black-3m"
cognitive-performance-bundle,"https://puresport.co/products/cognitive-performance-bundle"
muscle-and-joint-essentials,"https://puresport.co/products/muscle-and-joint-essentials"
intro-runners-bundle-skio,"https://puresport.co/products/intro-runners-bundle-skio"
10-week-half-marathon-plan,"https://puresport.co/products/10-week-half-marathon-plan"
16-week-marathon-plan,"https://puresport.co/products/16-week-marathon-plan"
tonal-hoodie-washed-black,"https://puresport.co/products/tonal-hoodie-washed-black"
tonal-hoodie-washed-brown,"https://puresport.co/products/tonal-hoodie-washed-brown"
in-your-nature-t-shirt-star-white,"https://puresport.co/products/in-your-nature-t-shirt-star-white"
in-your-nature-t-shirt-washed-black,"https://puresport.co/products/in-your-nature-t-shirt-washed-black"
tonal-sweatpants-washed-brown,"https://puresport.co/products/tonal-sweatpants-washed-brown"
international-womens-day-with-puresport-2025,"https://puresport.co/products/international-womens-day-with-puresport-2025"
tonal-sweatpants-washed-black,"https://puresport.co/products/tonal-sweatpants-washed-black"
ultra-electrolytes-60-pack-raspberry-salt,"https://puresport.co/products/ultra-electrolytes-60-pack-raspberry-salt"
ultra-electrolytes-60-pack-citrus-salt,"https://puresport.co/products/ultra-electrolytes-60-pack-citrus-salt"
creatine-monohydrate,"https://puresport.co/products/creatine-monohydrate"
creatine-monohydrate-trial-pack,"https://puresport.co/products/creatine-monohydrate-trial-pack"
peak-performance-bundle-skio,"https://puresport.co/products/peak-performance-bundle-skio"
performance-running-gloves,"https://puresport.co/products/performance-running-gloves"
for-the-long-run-lightweight-t-shirt-white,"https://puresport.co/products/for-the-long-run-lightweight-t-shirt-white"
for-the-long-run-lightweight-t-shirt-black,"https://puresport.co/products/for-the-long-run-lightweight-t-shirt-black"
ultra-electrolytes-trial-pack-5-servings,"https://puresport.co/products/ultra-electrolytes-trial-pack-5-servings"
cheerzone,"https://puresport.co/products/cheerzone"
sports-bottle-volt-yellow,"https://puresport.co/products/sports-bottle-volt-yellow"
marathon-t-shirt-white,"https://puresport.co/products/marathon-t-shirt-white"
marathon-hoodie-washed-black,"https://puresport.co/products/marathon-hoodie-washed-black"
marathon-performance-short-sleeve-black,"https://puresport.co/products/marathon-performance-short-sleeve-black"
perforated-running-cap-black,"https://puresport.co/products/perforated-running-cap-black"
perforated-running-cap-olive,"https://puresport.co/products/perforated-running-cap-olive"
puresport-hackney-shakeout,"https://puresport.co/products/puresport-hackney-shakeout"
puresport-cheerzone-mile-9,"https://puresport.co/products/puresport-cheerzone-mile-9"
ultra-electrolytes-30-pack-watermelon-salt,"https://puresport.co/products/ultra-electrolytes-30-pack-watermelon-salt"
the-real-runner-s-high-t-shirt-washed-black,"https://puresport.co/products/the-real-runner-s-high-t-shirt-washed-black"
15-e-gift-card,"https://puresport.co/products/15-e-gift-card"
for-the-long-run-hoodie-washed-grey,"https://puresport.co/products/for-the-long-run-hoodie-washed-grey"
ultra-electrolytes-30-pack-variety-pack,"https://puresport.co/products/ultra-electrolytes-30-pack-variety-pack"
ultra-electrolytes-60-pack-variety-pack,"https://puresport.co/products/ultra-electrolytes-60-pack-variety-pack"
ultra-electrolytes-15-pack-variety-pack,"https://puresport.co/products/ultra-electrolytes-15-pack-variety-pack"
ultra-electrolytes-15-pack-watermelon-salt,"https://puresport.co/products/ultra-electrolytes-15-pack-watermelon-salt"
intro-runners-bundle,"https://puresport.co/products/intro-runners-bundle"
peak-performance-bundle,"https://puresport.co/products/peak-performance-bundle"
ultra-electrolytes-60-pack-watermelon-salt,"https://puresport.co/products/ultra-electrolytes-60-pack-watermelon-salt"
